Rate	62.50
Rev Jump	12.50
Tree Move	12.50
Global Rate	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Global Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Global Rate - Dev	Global Rate - Tried	Global Rate - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
704	0.626420	27	0.666667	123	0.682927	146	0.000000	5.000000	704	0.626420	0.675648	0	0.000000	0.543000	0.606309	
665	0.652632	37	0.648649	156	0.557692	142	0.000000	5.000000	665	0.652632	0.675648	0	0.000000	0.545000	0.601200	
690	0.588406	30	0.700000	156	0.602564	124	0.000000	5.000000	690	0.588406	0.675648	0	0.000000	0.521000	0.595031	
689	0.611030	44	0.568182	131	0.618321	136	0.000000	5.000000	689	0.611030	0.675648	0	0.000000	0.527000	0.590172	
685	0.613139	58	0.637931	126	0.523810	131	0.000000	5.000000	685	0.613139	0.675648	0	0.000000	0.523000	0.585694	
703	0.627312	23	0.478261	133	0.639098	141	0.000000	5.000000	703	0.627312	0.675648	0	0.000000	0.537000	0.582651	
681	0.618209	45	0.600000	141	0.588652	133	0.000000	5.000000	681	0.618209	0.675648	0	0.000000	0.531000	0.579613	
701	0.636234	39	0.666667	128	0.648438	132	0.000000	5.000000	701	0.636234	0.675648	0	0.000000	0.555000	0.578246	
697	0.621234	52	0.557692	132	0.659091	119	0.000000	5.000000	697	0.621234	0.675648	0	0.000000	0.549000	0.576706	
679	0.678940	40	0.725000	136	0.544118	145	0.013793	5.000000	679	0.678940	0.675648	0	0.000000	0.566000	0.576171	
702	0.611111	38	0.736842	119	0.571429	141	0.000000	5.000000	702	0.611111	0.675648	0	0.000000	0.525000	0.573735	
682	0.637830	45	0.711111	140	0.614286	133	0.000000	5.000000	682	0.637830	0.675648	0	0.000000	0.553000	0.572792	
680	0.598529	48	0.708333	139	0.553957	133	0.000000	5.000000	680	0.598529	0.675648	0	0.000000	0.518000	0.570410	
691	0.620839	42	0.714286	133	0.556391	134	0.007463	5.000000	691	0.620839	0.675648	0	0.000000	0.534000	0.568893	
685	0.636496	39	0.692308	121	0.553719	155	0.000000	5.000000	685	0.636496	0.675648	0	0.000000	0.530000	0.567337	
680	0.635294	28	0.642857	152	0.703947	140	0.000000	5.000000	680	0.635294	0.675648	0	0.000000	0.557000	0.566940	
672	0.677083	16	0.687500	159	0.616352	153	0.000000	5.000000	672	0.677083	0.675648	0	0.000000	0.564000	0.566831	
689	0.605225	17	0.470588	151	0.609272	143	0.000000	5.000000	689	0.605225	0.675648	0	0.000000	0.517000	0.565051	
698	0.636103	25	0.520000	136	0.625000	141	0.000000	5.000000	698	0.636103	0.675648	0	0.000000	0.542000	0.564256	
682	0.602639	43	0.697674	117	0.538462	158	0.000000	5.000000	682	0.602639	0.675648	0	0.000000	0.504000	0.562248	
698	0.630372	39	0.589744	128	0.515625	135	0.000000	5.000000	698	0.630372	0.675648	0	0.000000	0.529000	0.561175	
692	0.635838	32	0.593750	136	0.683824	140	0.000000	5.000000	692	0.635838	0.675648	0	0.000000	0.552000	0.560889	
706	0.616147	29	0.620690	123	0.536585	142	0.000000	5.000000	706	0.616147	0.675648	0	0.000000	0.519000	0.559619	
708	0.617232	50	0.680000	135	0.659259	107	0.000000	5.000000	708	0.617232	0.675648	0	0.000000	0.560000	0.559631	
692	0.645954	29	0.689655	153	0.529412	126	0.000000	5.000000	692	0.645954	0.675648	0	0.000000	0.548000	0.559298	
681	0.654919	46	0.630435	123	0.617886	150	0.000000	5.000000	681	0.654919	0.675648	0	0.000000	0.551000	0.559068	
690	0.640580	32	0.531250	139	0.582734	139	0.000000	5.000000	690	0.640580	0.675648	0	0.000000	0.540000	0.558552	
680	0.604412	41	0.682927	142	0.633803	137	0.000000	5.000000	680	0.604412	0.675648	0	0.000000	0.529000	0.557775	
678	0.632743	47	0.702128	142	0.598592	133	0.000000	5.000000	678	0.632743	0.675648	0	0.000000	0.547000	0.557499	
704	0.622159	28	0.607143	128	0.578125	140	0.000000	5.000000	704	0.622159	0.675648	0	0.000000	0.529000	0.556786	
717	0.619247	15	0.733333	144	0.458333	124	0.000000	5.000000	717	0.619247	0.675648	0	0.000000	0.521000	0.555913	
689	0.635704	19	0.684211	148	0.628378	144	0.000000	5.000000	689	0.635704	0.675648	0	0.000000	0.544000	0.555630	
694	0.608069	21	0.523810	148	0.648649	137	0.000000	5.000000	694	0.608069	0.675648	0	0.000000	0.529000	0.555010	
678	0.613569	36	0.638889	151	0.682119	135	0.000000	5.000000	678	0.613569	0.675648	0	0.000000	0.542000	0.554715	
673	0.612184	46	0.543478	147	0.448980	134	0.000000	5.000000	673	0.612184	0.675648	0	0.000000	0.503000	0.553565	
631	0.645008	78	0.602564	161	0.590062	130	0.007692	5.000000	631	0.645008	0.675648	0	0.000000	0.550000	0.553488	
677	0.648449	58	0.568966	124	0.588710	141	0.000000	5.000000	677	0.648449	0.675648	0	0.000000	0.545000	0.553307	
692	0.611272	38	0.657895	135	0.570370	135	0.000000	5.000000	692	0.611272	0.675648	0	0.000000	0.525000	0.552718	
704	0.619318	30	0.733333	150	0.686667	116	0.000000	5.000000	704	0.619318	0.675648	0	0.000000	0.561000	0.552887	
703	0.601707	18	0.666667	139	0.568345	140	0.000000	5.000000	703	0.601707	0.675648	0	0.000000	0.514000	0.552109	
676	0.646450	34	0.470588	151	0.543046	139	0.000000	5.000000	676	0.646450	0.675648	0	0.000000	0.535000	0.551773	
677	0.621861	56	0.553571	123	0.528455	144	0.000000	5.000000	677	0.621861	0.675648	0	0.000000	0.517000	0.551105	
673	0.595840	33	0.666667	153	0.516340	141	0.000000	5.000000	673	0.595840	0.675648	0	0.000000	0.502000	0.550178	
672	0.636905	36	0.638889	150	0.486667	142	0.000000	5.000000	672	0.636905	0.675648	0	0.000000	0.524000	0.549694	
696	0.610632	26	0.615385	132	0.439394	146	0.000000	5.000000	696	0.610632	0.675648	0	0.000000	0.499000	0.548772	
698	0.610315	25	0.640000	149	0.624161	128	0.000000	5.000000	698	0.610315	0.675648	0	0.000000	0.535000	0.548526	
682	0.626100	34	0.705882	152	0.644737	132	0.000000	5.000000	682	0.626100	0.675648	0	0.000000	0.549000	0.548534	
681	0.647577	27	0.592593	143	0.629371	149	0.000000	5.000000	681	0.647577	0.675648	0	0.000000	0.547000	0.548508	
710	0.653521	49	0.591837	124	0.548387	117	0.000000	5.000000	710	0.653521	0.675648	0	0.000000	0.561000	0.548720	
682	0.624633	34	0.705882	124	0.596774	160	0.000000	5.000000	682	0.624633	0.675648	0	0.000000	0.524000	0.548308	
684	0.638889	63	0.634921	131	0.496183	122	0.000000	5.000000	684	0.638889	0.675648	0	0.000000	0.542000	0.548204	
688	0.645349	46	0.717391	134	0.537313	132	0.000000	5.000000	688	0.645349	0.675648	0	0.000000	0.549000	0.548217	
678	0.648968	53	0.603774	122	0.581967	147	0.000000	5.000000	678	0.648968	0.675648	0	0.000000	0.543000	0.548134	
699	0.656652	35	0.514286	119	0.563025	147	0.000000	5.000000	699	0.656652	0.675648	0	0.000000	0.544000	0.548070	
699	0.632332	46	0.608696	136	0.617647	119	0.000000	5.000000	699	0.632332	0.675648	0	0.000000	0.554000	0.548161	
678	0.669617	48	0.666667	124	0.588710	150	0.006667	5.000000	678	0.669617	0.675648	0	0.000000	0.560000	0.548340	
715	0.615385	37	0.621622	127	0.535433	121	0.000000	5.000000	715	0.615385	0.675648	0	0.000000	0.531000	0.548081	
661	0.597579	35	0.714286	146	0.582192	158	0.000000	5.000000	661	0.597579	0.675648	0	0.000000	0.505000	0.547448	
703	0.613087	50	0.580000	134	0.634328	113	0.000000	5.000000	703	0.613087	0.675648	0	0.000000	0.545000	0.547412	
684	0.650585	36	0.555556	133	0.774436	147	0.000000	5.000000	684	0.650585	0.675648	0	0.000000	0.568000	0.547706	
675	0.640000	37	0.675676	152	0.539474	136	0.000000	5.000000	675	0.640000	0.675648	0	0.000000	0.539000	0.547584	
687	0.628821	33	0.757576	145	0.524138	135	0.000000	5.000000	687	0.628821	0.675648	0	0.000000	0.533000	0.547381	
670	0.625373	45	0.644444	135	0.622222	150	0.006667	5.000000	670	0.625373	0.675648	0	0.000000	0.533000	0.547184	
710	0.671831	33	0.515152	136	0.551471	121	0.008264	5.000000	710	0.671831	0.675648	0	0.000000	0.570000	0.547493	
687	0.604076	38	0.368421	135	0.614815	140	0.000000	5.000000	687	0.604076	0.675648	0	0.000000	0.512000	0.547019	
662	0.586103	47	0.446809	127	0.456693	164	0.000000	5.000000	662	0.586103	0.675648	0	0.000000	0.467000	0.545967	
697	0.637016	34	0.735294	118	0.610169	151	0.000000	5.000000	697	0.637016	0.675648	0	0.000000	0.541000	0.545902	
667	0.626687	44	0.545455	161	0.664596	128	0.000000	5.000000	667	0.626687	0.675648	0	0.000000	0.549000	0.545942	
699	0.639485	42	0.595238	123	0.617886	136	0.000000	5.000000	699	0.639485	0.675648	0	0.000000	0.548000	0.545968	
671	0.584203	29	0.482759	168	0.660714	132	0.000000	5.000000	671	0.584203	0.675648	0	0.000000	0.517000	0.545606	
692	0.634393	17	0.823529	144	0.631944	147	0.000000	5.000000	692	0.634393	0.675648	0	0.000000	0.544000	0.545586	
718	0.629526	43	0.581395	108	0.629630	131	0.000000	5.000000	718	0.629526	0.675648	0	0.000000	0.545000	0.545579	
693	0.632035	46	0.521739	143	0.622378	118	0.000000	5.000000	693	0.632035	0.675648	0	0.000000	0.551000	0.545644	
670	0.620896	51	0.490196	135	0.474074	144	0.000000	5.000000	670	0.620896	0.675648	0	0.000000	0.505000	0.545160	
665	0.580451	64	0.625000	128	0.484375	143	0.000000	5.000000	665	0.580451	0.675648	0	0.000000	0.488000	0.544488	
678	0.643068	42	0.571429	148	0.641892	132	0.000000	5.000000	678	0.643068	0.675648	0	0.000000	0.555000	0.544610	
671	0.609538	47	0.638298	147	0.639456	135	0.000000	5.000000	671	0.609538	0.675648	0	0.000000	0.533000	0.544477	
700	0.624286	38	0.473684	144	0.618056	118	0.008475	5.000000	700	0.624286	0.675648	0	0.000000	0.545000	0.544482	
686	0.603499	38	0.605263	130	0.546154	146	0.006849	5.000000	686	0.603499	0.675648	0	0.000000	0.509000	0.544084	
690	0.627536	31	0.451613	114	0.596491	165	0.000000	5.000000	690	0.627536	0.675648	0	0.000000	0.515000	0.543761	
721	0.658807	32	0.593750	125	0.648000	122	0.008197	5.000000	721	0.658807	0.675648	0	0.000000	0.576000	0.544115	
695	0.627338	21	0.761905	144	0.631944	140	0.000000	5.000000	695	0.627338	0.675648	0	0.000000	0.543000	0.544103	
699	0.632332	35	0.514286	141	0.659574	125	0.000000	5.000000	699	0.632332	0.675648	0	0.000000	0.553000	0.544198	
660	0.645455	42	0.523810	151	0.682119	147	0.000000	5.000000	660	0.645455	0.675648	0	0.000000	0.551000	0.544271	
681	0.610866	34	0.588235	158	0.620253	127	0.000000	5.000000	681	0.610866	0.675648	0	0.000000	0.534000	0.544163	
686	0.642857	37	0.702703	145	0.682759	132	0.000000	5.000000	686	0.642857	0.675648	0	0.000000	0.566000	0.544390	
680	0.616176	31	0.548387	136	0.573529	153	0.000000	5.000000	680	0.616176	0.675648	0	0.000000	0.514000	0.544077	
693	0.607504	39	0.743590	141	0.531915	127	0.000000	5.000000	693	0.607504	0.675648	0	0.000000	0.525000	0.543882	
708	0.605932	42	0.761905	130	0.561538	120	0.000000	5.000000	708	0.605932	0.675648	0	0.000000	0.534000	0.543782	
676	0.591716	61	0.639344	133	0.443609	130	0.000000	5.000000	676	0.591716	0.675648	0	0.000000	0.498000	0.543325	
667	0.641679	55	0.563636	134	0.694030	144	0.000000	5.000000	667	0.641679	0.675648	0	0.000000	0.552000	0.543410	
694	0.577810	36	0.638889	132	0.590909	138	0.000000	5.000000	694	0.577810	0.675648	0	0.000000	0.502000	0.543004	
694	0.605187	28	0.571429	136	0.705882	142	0.000000	5.000000	694	0.605187	0.675648	0	0.000000	0.532000	0.542898	
694	0.632565	43	0.744186	119	0.655462	144	0.000000	5.000000	694	0.632565	0.675648	0	0.000000	0.549000	0.542956	
669	0.590433	54	0.555556	143	0.671329	134	0.007463	5.000000	669	0.590433	0.675648	0	0.000000	0.522000	0.542757	
643	0.611198	53	0.679245	150	0.626667	154	0.000000	5.000000	643	0.611198	0.675648	0	0.000000	0.523000	0.542570	
526	0.608365	69	0.623188	219	0.634703	186	0.000000	5.000000	526	0.608365	0.675648	0	0.000000	0.502000	0.542191	
666	0.635135	47	0.638298	127	0.590551	160	0.000000	5.000000	666	0.635135	0.675648	0	0.000000	0.528000	0.542060	
673	0.646360	55	0.545455	137	0.540146	135	0.000000	5.000000	673	0.646360	0.675648	0	0.000000	0.539000	0.542032	
690	0.611594	17	0.647059	145	0.606897	148	0.000000	5.000000	690	0.611594	0.675648	0	0.000000	0.521000	0.541841	
685	0.617518	31	0.516129	142	0.633803	142	0.000000	5.000000	685	0.617518	0.675648	0	0.000000	0.529000	0.541725	
703	0.605974	29	0.586207	144	0.625000	124	0.000000	5.000000	703	0.605974	0.675648	0	0.000000	0.533000	0.541647	
692	0.606936	20	0.500000	137	0.627737	151	0.000000	5.000000	692	0.606936	0.675648	0	0.000000	0.516000	0.541420	
699	0.613734	23	0.521739	126	0.531746	152	0.000000	5.000000	699	0.613734	0.675648	0	0.000000	0.508000	0.541127	
696	0.650862	40	0.650000	136	0.639706	128	0.000000	5.000000	696	0.650862	0.675648	0	0.000000	0.566000	0.541343	
691	0.620839	45	0.711111	131	0.656489	133	0.000000	5.000000	691	0.620839	0.675648	0	0.000000	0.547000	0.541392	
705	0.612766	35	0.514286	135	0.555556	125	0.000000	5.000000	705	0.612766	0.675648	0	0.000000	0.525000	0.541252	
694	0.634006	47	0.659574	133	0.721805	126	0.000000	5.000000	694	0.634006	0.675648	0	0.000000	0.567000	0.541470	
666	0.656156	37	0.675676	159	0.547170	138	0.000000	5.000000	666	0.656156	0.675648	0	0.000000	0.549000	0.541533	
649	0.628659	45	0.600000	155	0.580645	151	0.000000	5.000000	649	0.628659	0.675648	0	0.000000	0.525000	0.541395	
616	0.613636	43	0.581395	177	0.542373	164	0.000000	5.000000	616	0.613636	0.675648	0	0.000000	0.499000	0.541045	
717	0.612273	28	0.785714	138	0.637681	117	0.008547	5.000000	717	0.612273	0.675648	0	0.000000	0.550000	0.541119	
719	0.645341	27	0.444444	113	0.637168	141	0.000000	5.000000	719	0.645341	0.675648	0	0.000000	0.548000	0.541174	
661	0.582451	35	0.714286	153	0.758170	151	0.000000	5.000000	661	0.582451	0.675648	0	0.000000	0.526000	0.541052	
667	0.610195	45	0.733333	131	0.641221	157	0.006369	5.000000	667	0.610195	0.675648	0	0.000000	0.525000	0.540924	
687	0.618632	36	0.666667	141	0.609929	136	0.000000	5.000000	687	0.618632	0.675648	0	0.000000	0.535000	0.540877	
703	0.630156	38	0.710526	138	0.550725	121	0.000000	5.000000	703	0.630156	0.675648	0	0.000000	0.546000	0.540917	
701	0.637660	31	0.838710	142	0.605634	126	0.000000	5.000000	701	0.637660	0.675648	0	0.000000	0.559000	0.541058	
679	0.649485	38	0.710526	154	0.558442	129	0.000000	5.000000	679	0.649485	0.675648	0	0.000000	0.554000	0.541159	
712	0.613764	32	0.656250	128	0.671875	128	0.000000	5.000000	712	0.613764	0.675648	0	0.000000	0.544000	0.541180	
689	0.618287	26	0.653846	132	0.515152	153	0.006536	5.000000	689	0.618287	0.675648	0	0.000000	0.512000	0.540958	
701	0.611983	37	0.783784	122	0.426230	140	0.000000	5.000000	701	0.611983	0.675648	0	0.000000	0.510000	0.540723	
677	0.620384	45	0.622222	114	0.456140	164	0.000000	5.000000	677	0.620384	0.675648	0	0.000000	0.500000	0.540417	
697	0.647059	26	0.769231	139	0.496403	138	0.000000	5.000000	697	0.647059	0.675648	0	0.000000	0.540000	0.540414	
688	0.626453	33	0.696970	135	0.629630	144	0.000000	5.000000	688	0.626453	0.675648	0	0.000000	0.539000	0.540403	
678	0.629794	48	0.645833	131	0.541985	143	0.000000	5.000000	678	0.629794	0.675648	0	0.000000	0.529000	0.540320	
698	0.611748	36	0.583333	129	0.581395	137	0.000000	5.000000	698	0.611748	0.675648	0	0.000000	0.523000	0.540193	
706	0.618980	32	0.656250	137	0.664234	125	0.000000	5.000000	706	0.618980	0.675648	0	0.000000	0.549000	0.540257	
703	0.638691	21	0.714286	128	0.695312	148	0.006757	5.000000	703	0.638691	0.675648	0	0.000000	0.554000	0.540356	
664	0.650602	41	0.658537	151	0.649007	144	0.000000	5.000000	664	0.650602	0.675648	0	0.000000	0.557000	0.540475	
684	0.634503	44	0.613636	135	0.725926	137	0.000000	5.000000	684	0.634503	0.675648	0	0.000000	0.559000	0.540606	
684	0.628655	40	0.375000	151	0.556291	125	0.000000	5.000000	684	0.628655	0.675648	0	0.000000	0.529000	0.540524	
684	0.643275	38	0.473684	145	0.551724	133	0.000000	5.000000	684	0.643275	0.675648	0	0.000000	0.538000	0.540507	
691	0.615051	28	0.571429	138	0.594203	143	0.000000	5.000000	691	0.615051	0.675648	0	0.000000	0.523000	0.540385	
682	0.617302	20	0.800000	141	0.617021	157	0.000000	5.000000	682	0.617302	0.675648	0	0.000000	0.524000	0.540272	
690	0.655072	31	0.709677	133	0.616541	146	0.000000	5.000000	690	0.655072	0.675648	0	0.000000	0.556000	0.540380	
683	0.648609	30	0.666667	146	0.575342	141	0.000000	5.000000	683	0.648609	0.675648	0	0.000000	0.547000	0.540425	
683	0.604685	20	0.600000	162	0.641975	135	0.007407	5.000000	683	0.604685	0.675648	0	0.000000	0.530000	0.540354	
656	0.596037	40	0.725000	155	0.593548	149	0.006711	5.000000	656	0.596037	0.675648	0	0.000000	0.513000	0.540171	
656	0.621951	53	0.698113	147	0.585034	144	0.000000	5.000000	656	0.621951	0.675648	0	0.000000	0.531000	0.540110	
666	0.647147	60	0.700000	116	0.646552	158	0.000000	5.000000	666	0.647147	0.675648	0	0.000000	0.548000	0.540162	
691	0.613603	37	0.783784	134	0.567164	138	0.000000	5.000000	691	0.613603	0.675648	0	0.000000	0.529000	0.540089	
700	0.624286	45	0.644444	128	0.625000	127	0.000000	5.000000	700	0.624286	0.675648	0	0.000000	0.546000	0.540127	
670	0.637313	51	0.705882	143	0.657343	136	0.000000	5.000000	670	0.637313	0.675648	0	0.000000	0.557000	0.540237	
658	0.589666	50	0.700000	136	0.529412	156	0.000000	5.000000	658	0.589666	0.675648	0	0.000000	0.495000	0.539945	
675	0.626667	41	0.560976	132	0.553030	152	0.000000	5.000000	675	0.626667	0.675648	0	0.000000	0.519000	0.539811	
723	0.636238	23	0.565217	115	0.660870	139	0.000000	5.000000	723	0.636238	0.675648	0	0.000000	0.549000	0.539869	
701	0.627675	44	0.590909	131	0.725191	124	0.000000	5.000000	701	0.627675	0.675648	0	0.000000	0.561000	0.540003	
676	0.640533	40	0.525000	126	0.674603	158	0.000000	5.000000	676	0.640533	0.675648	0	0.000000	0.539000	0.539997	
670	0.635821	41	0.634146	134	0.634328	155	0.000000	5.000000	670	0.635821	0.675648	0	0.000000	0.537000	0.539978	
703	0.607397	40	0.675000	122	0.549180	135	0.000000	5.000000	703	0.607397	0.675648	0	0.000000	0.521000	0.539860	
710	0.636620	16	0.562500	146	0.595890	128	0.000000	5.000000	710	0.636620	0.675648	0	0.000000	0.548000	0.539910	
689	0.596517	38	0.605263	141	0.531915	132	0.000000	5.000000	689	0.596517	0.675648	0	0.000000	0.509000	0.539721	
677	0.633678	45	0.755556	138	0.514493	140	0.000000	5.000000	677	0.633678	0.675648	0	0.000000	0.534000	0.539686	
692	0.599711	48	0.562500	126	0.619048	134	0.000000	5.000000	692	0.599711	0.675648	0	0.000000	0.520000	0.539566	
678	0.643068	52	0.730769	127	0.661417	143	0.000000	5.000000	678	0.643068	0.675648	0	0.000000	0.558000	0.539677	
681	0.613803	46	0.586957	131	0.572519	142	0.007042	5.000000	681	0.613803	0.675648	0	0.000000	0.521000	0.539566	
651	0.614439	41	0.658537	154	0.474026	154	0.006494	5.000000	651	0.614439	0.675648	0	0.000000	0.501000	0.539336	
685	0.648175	32	0.531250	135	0.681481	148	0.000000	5.000000	685	0.648175	0.675648	0	0.000000	0.553000	0.539417	
677	0.651403	43	0.511628	136	0.500000	144	0.000000	5.000000	677	0.651403	0.675648	0	0.000000	0.531000	0.539367	
692	0.621387	26	0.692308	140	0.535714	142	0.000000	5.000000	692	0.621387	0.675648	0	0.000000	0.523000	0.539272	
675	0.645926	42	0.714286	137	0.642336	146	0.000000	5.000000	675	0.645926	0.675648	0	0.000000	0.554000	0.539357	
696	0.612069	45	0.666667	126	0.555556	133	0.000000	5.000000	696	0.612069	0.675648	0	0.000000	0.526000	0.539280	
661	0.636914	54	0.481481	147	0.510204	138	0.000000	5.000000	661	0.636914	0.675648	0	0.000000	0.522000	0.539181	
643	0.645412	31	0.677419	178	0.578652	148	0.000000	5.000000	643	0.645412	0.675648	0	0.000000	0.539000	0.539180	
689	0.619739	33	0.636364	141	0.645390	137	0.000000	5.000000	689	0.619739	0.675648	0	0.000000	0.539000	0.539179	
696	0.653736	38	0.631579	135	0.703704	131	0.000000	5.000000	696	0.653736	0.675648	0	0.000000	0.574000	0.539375	
679	0.631811	27	0.555556	144	0.673611	150	0.000000	5.000000	679	0.631811	0.675648	0	0.000000	0.541000	0.539385	
