Rate	62.50
Rev Jump	12.50
Tree Move	12.50
Global Rate	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Global Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Global Rate - Dev	Global Rate - Tried	Global Rate - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
676	0.640533	48	0.520833	134	0.589552	142	0.007042	5.000000	676	0.640533	0.425649	0	0.000000	0.538000	0.529497	
691	0.639653	47	0.638298	127	0.669291	135	0.000000	5.000000	691	0.639653	0.425649	0	0.000000	0.557000	0.531789	
698	0.651862	50	0.520000	126	0.539683	126	0.000000	5.000000	698	0.651862	0.425649	0	0.000000	0.549000	0.533113	
717	0.651325	47	0.617021	115	0.573913	121	0.000000	5.000000	717	0.651325	0.425649	0	0.000000	0.562000	0.535176	
691	0.612156	45	0.555556	119	0.411765	145	0.000000	5.000000	691	0.612156	0.425649	0	0.000000	0.497000	0.532631	
680	0.629412	43	0.604651	137	0.386861	140	0.000000	5.000000	680	0.629412	0.425649	0	0.000000	0.507000	0.531029	
701	0.611983	39	0.589744	121	0.611570	139	0.000000	5.000000	701	0.611983	0.425649	0	0.000000	0.526000	0.530733	
708	0.612994	20	0.650000	135	0.407407	137	0.007299	5.000000	708	0.612994	0.425649	0	0.000000	0.503000	0.529193	
688	0.629360	34	0.588235	131	0.610687	147	0.000000	5.000000	688	0.629360	0.425649	0	0.000000	0.533000	0.529393	
700	0.631429	25	0.680000	149	0.536913	126	0.000000	5.000000	700	0.631429	0.425649	0	0.000000	0.539000	0.529874	
671	0.651267	48	0.583333	151	0.629139	130	0.000000	5.000000	671	0.651267	0.425649	0	0.000000	0.560000	0.531308	
688	0.590116	48	0.604167	152	0.559211	112	0.000000	5.000000	688	0.590116	0.425649	0	0.000000	0.520000	0.530794	
666	0.602102	55	0.545455	147	0.380952	132	0.000000	5.000000	666	0.602102	0.425649	0	0.000000	0.487000	0.528890	
675	0.583704	63	0.587302	136	0.375000	126	0.000000	5.000000	675	0.583704	0.425649	0	0.000000	0.482000	0.526936	
680	0.638235	76	0.552632	132	0.492424	112	0.000000	5.000000	680	0.638235	0.425649	0	0.000000	0.541000	0.527499	
676	0.616864	62	0.500000	138	0.514493	124	0.000000	5.000000	676	0.616864	0.425649	0	0.000000	0.519000	0.527172	
689	0.622642	55	0.563636	132	0.462121	124	0.000000	5.000000	689	0.622642	0.425649	0	0.000000	0.521000	0.526943	
711	0.632911	35	0.571429	135	0.466667	119	0.000000	5.000000	711	0.632911	0.425649	0	0.000000	0.533000	0.527160	
657	0.660578	46	0.630435	148	0.472973	149	0.000000	5.000000	657	0.660578	0.425649	0	0.000000	0.533000	0.527361	
658	0.618541	47	0.617021	155	0.535484	140	0.000000	5.000000	658	0.618541	0.425649	0	0.000000	0.519000	0.527082	
600	0.600000	49	0.632653	169	0.739645	182	0.005495	5.000000	600	0.600000	0.425649	0	0.000000	0.517000	0.526757	
696	0.616379	33	0.515152	144	0.590278	127	0.007874	5.000000	696	0.616379	0.425649	0	0.000000	0.532000	0.526921	
682	0.567449	48	0.625000	118	0.550847	152	0.000000	5.000000	682	0.567449	0.425649	0	0.000000	0.482000	0.525560	
665	0.616541	48	0.666667	141	0.368794	146	0.000000	5.000000	665	0.616541	0.425649	0	0.000000	0.494000	0.524632	
673	0.653789	50	0.520000	145	0.344828	132	0.000000	5.000000	673	0.653789	0.425649	0	0.000000	0.516000	0.524385	
687	0.640466	58	0.603448	129	0.325581	126	0.007937	5.000000	687	0.640466	0.425649	0	0.000000	0.518000	0.524208	
700	0.658571	40	0.650000	126	0.571429	134	0.000000	5.000000	700	0.658571	0.425649	0	0.000000	0.559000	0.525148	
702	0.665242	45	0.577778	138	0.536232	115	0.000000	5.000000	702	0.665242	0.425649	0	0.000000	0.567000	0.526249	
694	0.635447	42	0.571429	134	0.664179	130	0.000000	5.000000	694	0.635447	0.425649	0	0.000000	0.554000	0.526961	
661	0.650530	52	0.423077	142	0.704225	145	0.000000	5.000000	661	0.650530	0.425649	0	0.000000	0.552000	0.527587	
667	0.646177	62	0.580645	145	0.662069	126	0.000000	5.000000	667	0.646177	0.425649	0	0.000000	0.563000	0.528451	
693	0.636364	62	0.467742	128	0.703125	117	0.000000	5.000000	693	0.636364	0.425649	0	0.000000	0.560000	0.529202	
657	0.631659	59	0.542373	138	0.681159	146	0.000000	5.000000	657	0.631659	0.425649	0	0.000000	0.541000	0.529476	
666	0.630631	57	0.526316	135	0.629630	142	0.000000	5.000000	666	0.630631	0.425649	0	0.000000	0.535000	0.529602	
