Options:
Model:                           MultiState
Tree File Name:                  data/ultimate_M_done.bttrees
Data File Name:                  data/ultimate_M_done.btdata
Log File Name:                   output/ultimate_M_done-pisemp-2.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2203277202
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   output/ultimate_M_done-pisemp-2.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     20
Base frequency (PI's):           Empirical: (0.044444,0.200000,0.333333,0.222222,0.200000)
Character Symbols:               A,B,C,D,E
Using a covarion model:          False
Normalise Q Matrix:              True
Restrictions:
    qAB                          RJ MCMC
    qAC                          RJ MCMC
    qAD                          RJ MCMC
    qAE                          RJ MCMC
    qBA                          RJ MCMC
    qBC                          RJ MCMC
    qBD                          RJ MCMC
    qBE                          RJ MCMC
    qCA                          RJ MCMC
    qCB                          RJ MCMC
    qCD                          RJ MCMC
    qCE                          RJ MCMC
    qDA                          RJ MCMC
    qDB                          RJ MCMC
    qDC                          RJ MCMC
    qDE                          RJ MCMC
    qEA                          RJ MCMC
    qEB                          RJ MCMC
    qEC                          RJ MCMC
    qED                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        GlobalRate - uniform 0.00 100.00 
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       45
     Sites:                      1
     States:                     5
Iteration	Lh	Tree No	Global Rate	No Off Parmeters	No Off Zero	Model string	qAB	qAC	qAD	qAE	qBA	qBC	qBD	qBE	qCA	qCB	qCD	qCE	qDA	qDB	qDC	qDE	qEA	qEB	qEC	qED	Root P(A)	Root P(B)	Root P(C)	Root P(D)	Root P(E)	
11000	-50.875654	879	0.000227	1	9	'Z Z Z 0 Z 0 Z Z 0 0 0 0 Z 0 0 Z 0 0 0 Z 	0.000000	0.000000	0.000000	1.880223	0.000000	1.880223	0.000000	0.000000	1.880223	1.880223	1.880223	1.880223	0.000000	1.880223	1.880223	0.000000	1.880223	1.880223	1.880223	0.000000	0.001247	0.020166	0.580007	0.220898	0.177682	
12000	-48.780904	546	0.000227	1	7	'0 0 0 Z Z 0 0 0 0 0 Z 0 0 0 0 Z Z Z 0 Z 	1.894294	1.894294	1.894294	0.000000	0.000000	1.894294	1.894294	1.894294	1.894294	1.894294	0.000000	1.894294	1.894294	1.894294	1.894294	0.000000	0.000000	0.000000	1.894294	0.000000	0.088819	0.205474	0.084829	0.613589	0.007289	
13000	-49.032895	816	0.000227	1	9	'Z Z 0 Z 0 0 0 0 0 0 0 0 Z Z 0 Z Z Z 0 Z 	0.000000	0.000000	1.876738	0.000000	1.876738	1.876738	1.876738	1.876738	1.876738	1.876738	1.876738	1.876738	0.000000	0.000000	1.876738	0.000000	0.000000	0.000000	1.876738	0.000000	0.003945	0.377037	0.491244	0.060192	0.067582	
14000	-52.196616	345	0.000230	1	6	'Z 0 Z 0 Z 0 0 Z 0 0 Z 0 0 0 0 Z 0 0 0 0 	0.000000	1.750216	0.000000	1.750216	0.000000	1.750216	1.750216	0.000000	1.750216	1.750216	0.000000	1.750216	1.750216	1.750216	1.750216	0.000000	1.750216	1.750216	1.750216	1.750216	0.033167	0.102374	0.216263	0.289863	0.358333	
15000	-49.528714	183	0.000230	1	6	'0 0 0 0 0 0 0 0 0 0 Z Z 0 0 0 Z Z Z 0 Z 	2.087629	2.087629	2.087629	2.087629	2.087629	2.087629	2.087629	2.087629	2.087629	2.087629	0.000000	0.000000	2.087629	2.087629	2.087629	0.000000	0.000000	0.000000	2.087629	0.000000	0.087809	0.383640	0.066788	0.442887	0.018876	
16000	-50.578395	594	0.000230	1	6	'0 Z 0 Z Z Z 0 0 0 0 0 0 0 0 0 Z 0 0 0 Z 	1.756288	0.000000	1.756288	0.000000	0.000000	0.000000	1.756288	1.756288	1.756288	1.756288	1.756288	1.756288	1.756288	1.756288	1.756288	0.000000	1.756288	1.756288	1.756288	0.000000	0.024451	0.042855	0.516982	0.237449	0.178262	
17000	-48.240856	838	0.000414	1	7	'0 Z 0 0 Z Z 0 0 0 0 0 0 0 Z 0 Z 0 Z 0 Z 	2.025000	0.000000	2.025000	2.025000	0.000000	0.000000	2.025000	2.025000	2.025000	2.025000	2.025000	2.025000	2.025000	0.000000	2.025000	0.000000	2.025000	0.000000	2.025000	0.000000	0.043295	0.208443	0.360579	0.188689	0.198993	
18000	-48.305363	831	0.000227	1	8	'Z 0 Z Z 0 Z 0 0 0 0 0 0 0 0 0 Z Z Z 0 Z 	0.000000	1.903195	0.000000	0.000000	1.903195	0.000000	1.903195	1.903195	1.903195	1.903195	1.903195	1.903195	1.903195	1.903195	1.903195	0.000000	0.000000	0.000000	1.903195	0.000000	0.036021	0.098986	0.490919	0.306519	0.067555	
19000	-49.240550	870	0.000227	1	5	'Z 0 Z 0 0 0 Z 0 0 0 0 0 0 0 0 0 Z Z 0 0 	0.000000	1.549350	0.000000	1.549350	1.549350	1.549350	0.000000	1.549350	1.549350	1.549350	1.549350	1.549350	1.549350	1.549350	1.549350	1.549350	0.000000	0.000000	1.549350	1.549350	0.031711	0.085445	0.364946	0.347235	0.170663	
20000	-49.798106	358	0.000227	1	6	'Z Z Z 0 Z 0 0 0 0 0 Z 0 0 0 0 0 Z 0 0 0 	0.000000	0.000000	0.000000	1.582031	0.000000	1.582031	1.582031	1.582031	1.582031	1.582031	0.000000	1.582031	1.582031	1.582031	1.582031	1.582031	0.000000	1.582031	1.582031	1.582031	0.001325	0.181693	0.115874	0.494849	0.206259	
