Options:
Model:                           MultiState
Tree File Name:                  data/ultimate_M_done.bttrees
Data File Name:                  data/ultimate_M_done.btdata
Log File Name:                   output/ultimate_M_done-pisemp-3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3000850356
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   output/ultimate_M_done-pisemp-3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     20
Base frequency (PI's):           Empirical: (0.044444,0.200000,0.333333,0.222222,0.200000)
Character Symbols:               A,B,C,D,E
Using a covarion model:          False
Normalise Q Matrix:              True
Restrictions:
    qAB                          RJ MCMC
    qAC                          RJ MCMC
    qAD                          RJ MCMC
    qAE                          RJ MCMC
    qBA                          RJ MCMC
    qBC                          RJ MCMC
    qBD                          RJ MCMC
    qBE                          RJ MCMC
    qCA                          RJ MCMC
    qCB                          RJ MCMC
    qCD                          RJ MCMC
    qCE                          RJ MCMC
    qDA                          RJ MCMC
    qDB                          RJ MCMC
    qDC                          RJ MCMC
    qDE                          RJ MCMC
    qEA                          RJ MCMC
    qEB                          RJ MCMC
    qEC                          RJ MCMC
    qED                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        GlobalRate - uniform 0.00 100.00 
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       45
     Sites:                      1
     States:                     5
Iteration	Lh	Tree No	Global Rate	No Off Parmeters	No Off Zero	Model string	qAB	qAC	qAD	qAE	qBA	qBC	qBD	qBE	qCA	qCB	qCD	qCE	qDA	qDB	qDC	qDE	qEA	qEB	qEC	qED	Root P(A)	Root P(B)	Root P(C)	Root P(D)	Root P(E)	
22000	-67.761090	670	8.728855	1	8	'Z 0 0 Z Z 0 Z 0 0 Z 0 0 0 0 0 Z Z 0 0 Z 	0.000000	1.915799	1.915799	0.000000	0.000000	1.915799	0.000000	1.915799	1.915799	0.000000	1.915799	1.915799	1.915799	1.915799	1.915799	0.000000	0.000000	1.915799	1.915799	0.000000	0.044444	0.200000	0.333333	0.222222	0.200000	
23000	-69.477244	803	8.105139	1	9	'0 0 0 0 0 Z 0 Z Z 0 0 0 Z Z 0 Z Z Z 0 Z 	2.252503	2.252503	2.252503	2.252503	2.252503	0.000000	2.252503	0.000000	0.000000	2.252503	2.252503	2.252503	0.000000	0.000000	2.252503	0.000000	0.000000	0.000000	2.252503	0.000000	0.044444	0.200000	0.333333	0.222222	0.200000	
24000	-66.846289	486	7.714975	1	7	'0 0 0 Z 0 0 Z Z 0 0 0 0 0 Z 0 Z 0 Z 0 Z 	2.037223	2.037223	2.037223	0.000000	2.037223	2.037223	0.000000	0.000000	2.037223	2.037223	2.037223	2.037223	2.037223	0.000000	2.037223	0.000000	2.037223	0.000000	2.037223	0.000000	0.044444	0.200000	0.333333	0.222222	0.200000	
25000	-67.745225	843	5.698778	1	2	'0 0 0 0 0 0 0 0 0 0 0 0 Z 0 0 Z 0 0 0 0 	1.422051	1.422051	1.422051	1.422051	1.422051	1.422051	1.422051	1.422051	1.422051	1.422051	1.422051	1.422051	0.000000	1.422051	1.422051	0.000000	1.422051	1.422051	1.422051	1.422051	0.044444	0.200000	0.333333	0.222222	0.200000	
26000	-68.295663	17	4.079077	1	12	'Z 0 Z Z Z 0 Z 0 0 0 0 Z Z 0 Z Z Z Z 0 Z 	0.000000	2.576336	0.000000	0.000000	0.000000	2.576336	0.000000	2.576336	2.576336	2.576336	2.576336	0.000000	0.000000	2.576336	0.000000	0.000000	0.000000	0.000000	2.576336	0.000000	0.044444	0.200000	0.333333	0.222222	0.200000	
27000	-68.470030	585	5.340109	2	11	'Z 1 Z Z Z 0 Z 1 0 0 0 Z 0 1 Z Z Z 1 Z Z 	0.000000	2.682250	0.000000	0.000000	0.000000	2.699161	0.000000	2.682250	2.699161	2.699161	2.699161	0.000000	2.699161	2.682250	0.000000	0.000000	0.000000	2.682250	0.000000	0.000000	0.044444	0.200000	0.333333	0.222222	0.200000	
28000	-67.598177	462	4.472514	1	7	'Z 0 0 Z Z 0 Z Z 0 Z 0 0 0 0 0 0 Z 0 0 0 	0.000000	1.751730	1.751730	0.000000	0.000000	1.751730	0.000000	0.000000	1.751730	0.000000	1.751730	1.751730	1.751730	1.751730	1.751730	1.751730	0.000000	1.751730	1.751730	1.751730	0.044444	0.200000	0.333333	0.222222	0.200000	
29000	-67.088916	117	4.031497	1	3	'Z Z 0 0 0 0 0 0 0 0 0 0 Z 0 0 0 0 0 0 0 	0.000000	0.000000	1.381310	1.381310	1.381310	1.381310	1.381310	1.381310	1.381310	1.381310	1.381310	1.381310	0.000000	1.381310	1.381310	1.381310	1.381310	1.381310	1.381310	1.381310	0.044444	0.200000	0.333333	0.222222	0.200000	
30000	-68.395800	100	5.885121	1	8	'Z Z 0 Z 0 0 0 0 Z 0 Z 0 0 Z 0 0 Z 0 Z 0 	0.000000	0.000000	1.937799	0.000000	1.937799	1.937799	1.937799	1.937799	0.000000	1.937799	0.000000	1.937799	1.937799	0.000000	1.937799	1.937799	0.000000	1.937799	0.000000	1.937799	0.044444	0.200000	0.333333	0.222222	0.200000	
31000	-66.753890	564	6.051776	1	6	'0 0 Z 0 Z 0 0 Z 0 0 0 Z 0 0 0 0 0 Z Z 0 	1.903195	1.903195	0.000000	1.903195	0.000000	1.903195	1.903195	0.000000	1.903195	1.903195	1.903195	0.000000	1.903195	1.903195	1.903195	1.903195	1.903195	0.000000	0.000000	1.903195	0.044444	0.200000	0.333333	0.222222	0.200000	
32000	-67.767886	807	4.290855	1	6	'0 0 0 Z Z 0 Z Z 0 Z 0 0 Z 0 0 0 0 0 0 0 	1.727816	1.727816	1.727816	0.000000	0.000000	1.727816	0.000000	0.000000	1.727816	0.000000	1.727816	1.727816	0.000000	1.727816	1.727816	1.727816	1.727816	1.727816	1.727816	1.727816	0.044444	0.200000	0.333333	0.222222	0.200000	
33000	-70.457843	285	4.431198	1	11	'Z 0 Z Z 0 0 Z Z Z 0 Z 0 Z Z 0 Z 0 Z 0 0 	0.000000	2.393617	0.000000	0.000000	2.393617	2.393617	0.000000	0.000000	0.000000	2.393617	0.000000	2.393617	0.000000	0.000000	2.393617	0.000000	2.393617	0.000000	2.393617	2.393617	0.044444	0.200000	0.333333	0.222222	0.200000	
34000	-66.883313	843	4.128873	1	9	'Z 0 0 Z 0 0 Z Z 0 0 0 0 0 Z 0 Z Z Z 0 Z 	0.000000	2.113779	2.113779	0.000000	2.113779	2.113779	0.000000	0.000000	2.113779	2.113779	2.113779	2.113779	2.113779	0.000000	2.113779	0.000000	0.000000	0.000000	2.113779	0.000000	0.044444	0.200000	0.333333	0.222222	0.200000	
35000	-68.909029	915	3.317372	1	8	'0 Z Z 0 Z 0 0 Z 0 0 Z 0 Z 0 0 Z Z 0 0 0 	1.829268	0.000000	0.000000	1.829268	0.000000	1.829268	1.829268	0.000000	1.829268	1.829268	0.000000	1.829268	0.000000	1.829268	1.829268	0.000000	0.000000	1.829268	1.829268	1.829268	0.044444	0.200000	0.333333	0.222222	0.200000	
36000	-66.762660	369	2.582462	1	8	'Z Z 0 Z Z 0 Z 0 Z 0 0 0 Z Z 0 0 0 0 0 0 	0.000000	0.000000	1.659836	0.000000	0.000000	1.659836	0.000000	1.659836	0.000000	1.659836	1.659836	1.659836	0.000000	0.000000	1.659836	1.659836	1.659836	1.659836	1.659836	1.659836	0.044444	0.200000	0.333333	0.222222	0.200000	
37000	-68.681066	560	1.141684	1	9	'Z 0 Z Z Z 0 Z 0 Z 0 0 Z 0 0 0 0 Z Z 0 0 	0.000000	1.830922	0.000000	0.000000	0.000000	1.830922	0.000000	1.830922	0.000000	1.830922	1.830922	0.000000	1.830922	1.830922	1.830922	1.830922	0.000000	0.000000	1.830922	1.830922	0.044444	0.200000	0.333333	0.222222	0.200000	
38000	-68.256673	379	0.153402	1	8	'0 0 0 0 0 0 Z Z 0 0 0 Z Z Z 0 0 Z Z 0 Z 	2.179763	2.179763	2.179763	2.179763	2.179763	2.179763	0.000000	0.000000	2.179763	2.179763	2.179763	0.000000	0.000000	0.000000	2.179763	2.179763	0.000000	0.000000	2.179763	0.000000	0.044444	0.200000	0.333333	0.222222	0.200000	
39000	-68.123881	308	0.082286	1	7	'0 Z 0 Z 0 0 0 0 Z 0 0 Z Z 0 0 0 Z 0 0 Z 	1.697402	0.000000	1.697402	0.000000	1.697402	1.697402	1.697402	1.697402	0.000000	1.697402	1.697402	0.000000	0.000000	1.697402	1.697402	1.697402	0.000000	1.697402	1.697402	0.000000	0.044444	0.200000	0.333333	0.222222	0.200000	
40000	-53.803756	334	0.014155	2	6	'1 0 1 Z 0 0 Z Z Z 0 1 1 1 1 Z 1 Z 1 1 1 	0.035484	6.275420	0.035484	0.000000	6.275420	6.275420	0.000000	0.000000	0.000000	6.275420	0.035484	0.035484	0.035484	0.035484	0.000000	0.035484	0.000000	0.035484	0.035484	0.035484	0.045338	0.204130	0.340209	0.177519	0.232803	
41000	-54.873653	504	0.044751	2	3	'1 0 1 Z 0 0 1 1 1 0 1 1 1 1 Z 1 1 1 Z 1 	0.004577	6.354784	0.004577	0.000000	6.354784	6.354784	0.004577	0.004577	0.004577	6.354784	0.004577	0.004577	0.004577	0.004577	0.000000	0.004577	0.004577	0.004577	0.000000	0.004577	0.072727	0.327092	0.545129	0.034636	0.020416	
42000	-53.024090	166	0.021646	2	0	'1 0 1 1 0 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 	0.020363	6.290058	0.020363	0.020363	6.290058	6.290058	0.020363	0.020363	0.020363	6.290058	0.020363	0.020363	0.020363	0.020363	0.020363	0.020363	0.020363	0.020363	0.020363	0.020363	0.044473	0.200129	0.333548	0.225991	0.195859	
43000	-55.453360	930	0.008975	2	11	'Z 0 Z Z 0 0 Z 1 1 0 1 Z 1 Z Z Z Z 1 Z Z 	0.000000	6.191576	0.000000	0.000000	6.191576	6.191576	0.000000	0.154914	0.154914	6.191576	0.154914	0.000000	0.154914	0.000000	0.000000	0.000000	0.000000	0.154914	0.000000	0.000000	0.037169	0.171217	0.276331	0.002509	0.512773	
44000	-57.569978	983	0.001912	2	9	'Z 0 1 1 0 0 Z 1 1 0 Z Z 1 Z Z Z Z 1 Z 1 	0.000000	5.529620	0.784061	0.784061	5.529620	5.529620	0.000000	0.784061	0.784061	5.529620	0.000000	0.000000	0.784061	0.000000	0.000000	0.000000	0.000000	0.784061	0.000000	0.784061	0.056090	0.277421	0.474311	0.024532	0.167645	
45000	-58.479038	35	0.001912	1	10	'Z 0 0 Z 0 0 Z 0 0 0 Z Z 0 Z Z Z 0 0 Z Z 	0.000000	3.565141	3.565141	0.000000	3.565141	3.565141	0.000000	3.565141	3.565141	3.565141	0.000000	0.000000	3.565141	0.000000	0.000000	0.000000	3.565141	3.565141	0.000000	0.000000	0.041529	0.227289	0.378806	0.125079	0.227297	
46000	-58.327697	852	0.000947	1	10	'Z 0 Z Z 0 0 0 0 0 0 Z Z 0 Z Z Z 0 0 Z Z 	0.000000	3.173981	0.000000	0.000000	3.173981	3.173981	3.173981	3.173981	3.173981	3.173981	0.000000	0.000000	3.173981	0.000000	0.000000	0.000000	3.173981	3.173981	0.000000	0.000000	0.060871	0.206086	0.401172	0.080150	0.251721	
47000	-55.666159	764	0.000947	1	8	'0 0 Z 0 0 0 0 Z 0 0 Z Z Z 0 Z 0 0 0 Z Z 	2.689243	2.689243	0.000000	2.689243	2.689243	2.689243	2.689243	0.000000	2.689243	2.689243	0.000000	0.000000	0.000000	2.689243	0.000000	2.689243	2.689243	2.689243	0.000000	0.000000	0.043911	0.198624	0.321075	0.230669	0.205721	
48000	-55.822749	412	0.000947	1	5	'0 0 0 0 0 0 0 Z 0 0 0 Z 0 0 0 0 Z 0 Z Z 	1.883721	1.883721	1.883721	1.883721	1.883721	1.883721	1.883721	0.000000	1.883721	1.883721	1.883721	0.000000	1.883721	1.883721	1.883721	1.883721	0.000000	1.883721	0.000000	0.000000	0.044576	0.199984	0.333078	0.222881	0.199481	
49000	-55.794441	924	0.000947	1	6	'Z 0 0 0 0 0 Z 0 0 0 0 Z 0 Z 0 0 Z Z 0 0 	0.000000	1.837568	1.837568	1.837568	1.837568	1.837568	0.000000	1.837568	1.837568	1.837568	1.837568	0.000000	1.837568	0.000000	1.837568	1.837568	0.000000	0.000000	1.837568	1.837568	0.044174	0.201442	0.334627	0.220880	0.198878	
50000	-57.832537	998	0.000947	1	7	'0 0 0 Z 0 0 Z Z 0 0 0 Z 0 Z 0 0 Z Z 0 0 	1.983350	1.983350	1.983350	0.000000	1.983350	1.983350	0.000000	0.000000	1.983350	1.983350	1.983350	0.000000	1.983350	0.000000	1.983350	1.983350	0.000000	0.000000	1.983350	1.983350	0.044182	0.193982	0.331365	0.226148	0.204323	
51000	-52.696684	157	0.000947	1	7	'0 Z 0 Z 0 0 0 Z 0 0 Z 0 0 0 0 Z 0 Z 0 Z 	2.037223	0.000000	2.037223	0.000000	2.037223	2.037223	2.037223	0.000000	2.037223	2.037223	0.000000	2.037223	2.037223	2.037223	2.037223	0.000000	2.037223	0.000000	2.037223	0.000000	0.045930	0.201653	0.331861	0.224029	0.196527	
52000	-55.404279	971	0.000947	1	11	'Z Z 0 Z Z Z 0 Z Z 0 0 0 0 Z 0 Z 0 Z 0 Z 	0.000000	0.000000	2.373974	0.000000	0.000000	0.000000	2.373974	0.000000	0.000000	2.373974	2.373974	2.373974	2.373974	0.000000	2.373974	0.000000	2.373974	0.000000	2.373974	0.000000	0.033268	0.193201	0.341707	0.221415	0.210408	
53000	-53.370202	204	0.000133	1	9	'Z 0 0 0 Z Z Z 0 0 0 0 0 0 Z 0 Z Z Z 0 Z 	0.000000	2.240044	2.240044	2.240044	0.000000	0.000000	0.000000	2.240044	2.240044	2.240044	2.240044	2.240044	2.240044	0.000000	2.240044	0.000000	0.000000	0.000000	2.240044	0.000000	0.096068	0.000140	0.645699	0.200080	0.058013	
54000	-50.861459	810	0.000133	2	9	'Z Z Z 1 0 Z Z Z 0 0 1 0 Z 1 0 1 Z Z 0 1 	0.000000	0.000000	0.000000	0.084325	3.296958	0.000000	0.000000	0.000000	3.296958	3.296958	0.084325	3.296958	0.000000	0.084325	3.296958	0.084325	0.000000	0.000000	3.296958	0.084325	0.000000	0.000000	0.001707	0.997713	0.000579	
55000	-53.298369	244	0.000133	1	7	'0 0 Z Z 0 0 0 Z 0 0 Z 0 0 Z 0 Z 0 Z 0 0 	2.016932	2.016932	0.000000	0.000000	2.016932	2.016932	2.016932	0.000000	2.016932	2.016932	0.000000	2.016932	2.016932	0.000000	2.016932	0.000000	2.016932	0.000000	2.016932	2.016932	0.014575	0.108911	0.299161	0.202197	0.375156	
56000	-50.418514	550	0.000133	1	8	'0 Z 0 Z Z Z 0 Z 0 0 Z 0 0 0 0 0 Z Z 0 0 	2.018943	0.000000	2.018943	0.000000	0.000000	0.000000	2.018943	0.000000	2.018943	2.018943	0.000000	2.018943	2.018943	2.018943	2.018943	2.018943	0.000000	0.000000	2.018943	2.018943	0.027069	0.003417	0.088409	0.715830	0.165275	
57000	-51.929299	434	0.000133	1	7	'Z 0 0 0 0 Z Z Z 0 0 0 Z 0 0 0 Z 0 Z 0 0 	0.000000	2.240044	2.240044	2.240044	2.240044	0.000000	0.000000	0.000000	2.240044	2.240044	2.240044	0.000000	2.240044	2.240044	2.240044	0.000000	2.240044	0.000000	2.240044	2.240044	0.089585	0.000102	0.003335	0.003271	0.903707	
58000	-50.415602	318	0.000194	1	8	'Z Z 0 0 Z 0 0 0 0 0 Z 0 Z 0 0 0 Z Z 0 Z 	0.000000	0.000000	1.825969	1.825969	0.000000	1.825969	1.825969	1.825969	1.825969	1.825969	0.000000	1.825969	0.000000	1.825969	1.825969	1.825969	0.000000	0.000000	1.825969	0.000000	0.095260	0.204444	0.076498	0.622901	0.000897	
59000	-50.908145	675	0.000194	1	6	'Z 0 0 0 0 0 Z Z 0 0 Z 0 0 0 0 Z 0 Z 0 0 	0.000000	1.977539	1.977539	1.977539	1.977539	1.977539	0.000000	0.000000	1.977539	1.977539	0.000000	1.977539	1.977539	1.977539	1.977539	0.000000	1.977539	0.000000	1.977539	1.977539	0.100860	0.013839	0.130855	0.309664	0.444782	
60000	-49.936752	384	0.000194	1	8	'Z 0 0 Z 0 0 0 Z 0 0 Z 0 Z 0 0 Z Z Z 0 0 	0.000000	1.913989	1.913989	0.000000	1.913989	1.913989	1.913989	0.000000	1.913989	1.913989	0.000000	1.913989	0.000000	1.913989	1.913989	0.000000	0.000000	0.000000	1.913989	1.913989	0.051629	0.120611	0.275662	0.221966	0.330132	
61000	-51.147865	958	0.000194	1	5	'Z 0 0 Z 0 0 0 0 0 0 0 0 Z Z 0 Z 0 0 0 0 	0.000000	1.560092	1.560092	0.000000	1.560092	1.560092	1.560092	1.560092	1.560092	1.560092	1.560092	1.560092	0.000000	0.000000	1.560092	0.000000	1.560092	1.560092	1.560092	1.560092	0.008292	0.273668	0.393932	0.013311	0.310796	
62000	-52.391854	606	0.000194	1	5	'0 Z 0 Z 0 Z Z 0 0 0 0 0 0 0 0 0 0 Z 0 0 	1.716102	0.000000	1.716102	0.000000	1.716102	0.000000	0.000000	1.716102	1.716102	1.716102	1.716102	1.716102	1.716102	1.716102	1.716102	1.716102	1.716102	0.000000	1.716102	1.716102	0.007061	0.004183	0.355286	0.297877	0.335592	
63000	-51.987051	588	0.000194	1	10	'Z 0 Z 0 Z Z Z Z 0 0 0 Z 0 Z 0 Z 0 Z 0 0 	0.000000	2.609536	0.000000	2.609536	0.000000	0.000000	0.000000	0.000000	2.609536	2.609536	2.609536	0.000000	2.609536	0.000000	2.609536	0.000000	2.609536	0.000000	2.609536	2.609536	0.079668	0.000000	0.005603	0.007539	0.907190	
64000	-54.962893	555	0.000194	1	10	'Z Z 0 Z Z 0 Z 0 0 0 0 0 0 Z 0 Z Z 0 Z Z 	0.000000	0.000000	2.161153	0.000000	0.000000	2.161153	0.000000	2.161153	2.161153	2.161153	2.161153	2.161153	2.161153	0.000000	2.161153	0.000000	0.000000	2.161153	0.000000	0.000000	0.000711	0.042302	0.668756	0.287824	0.000406	
