Options:
Model:                           MultiState
Tree File Name:                  data/ultimate_M_done.bttrees
Data File Name:                  data/ultimate_M_done.btdata
Log File Name:                   output/ultimate_M_done-pisemp-1.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3571047092
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   output/ultimate_M_done-pisemp-1.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     20
Base frequency (PI's):           Empirical: (0.044444,0.200000,0.333333,0.222222,0.200000)
Character Symbols:               A,B,C,D,E
Using a covarion model:          False
Normalise Q Matrix:              True
Restrictions:
    qAB                          RJ MCMC
    qAC                          RJ MCMC
    qAD                          RJ MCMC
    qAE                          RJ MCMC
    qBA                          RJ MCMC
    qBC                          RJ MCMC
    qBD                          RJ MCMC
    qBE                          RJ MCMC
    qCA                          RJ MCMC
    qCB                          RJ MCMC
    qCD                          RJ MCMC
    qCE                          RJ MCMC
    qDA                          RJ MCMC
    qDB                          RJ MCMC
    qDC                          RJ MCMC
    qDE                          RJ MCMC
    qEA                          RJ MCMC
    qEB                          RJ MCMC
    qEC                          RJ MCMC
    qED                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        GlobalRate - uniform 0.00 100.00 
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       45
     Sites:                      1
     States:                     5
Iteration	Lh	Tree No	Global Rate	No Off Parmeters	No Off Zero	Model string	qAB	qAC	qAD	qAE	qBA	qBC	qBD	qBE	qCA	qCB	qCD	qCE	qDA	qDB	qDC	qDE	qEA	qEB	qEC	qED	Root P(A)	Root P(B)	Root P(C)	Root P(D)	Root P(E)	
11000	-50.102139	616	0.000218	1	10	'Z 0 Z Z Z 0 0 Z 0 0 Z 0 0 0 0 Z Z Z 0 Z 	0.000000	2.131579	0.000000	0.000000	0.000000	2.131579	2.131579	0.000000	2.131579	2.131579	0.000000	2.131579	2.131579	2.131579	2.131579	0.000000	0.000000	0.000000	2.131579	0.000000	0.003901	0.249211	0.123363	0.618095	0.005430	
12000	-49.920287	140	0.000218	1	10	'0 Z Z Z 0 0 0 0 0 0 Z Z Z Z 0 0 Z Z 0 Z 	2.295918	0.000000	0.000000	0.000000	2.295918	2.295918	2.295918	2.295918	2.295918	2.295918	0.000000	0.000000	0.000000	0.000000	2.295918	2.295918	0.000000	0.000000	2.295918	0.000000	0.052738	0.446763	0.181445	0.306092	0.012962	
13000	-49.499191	919	0.000218	1	9	'0 Z Z Z Z 0 0 0 0 0 Z Z 0 0 0 Z 0 Z 0 Z 	2.245011	0.000000	0.000000	0.000000	0.000000	2.245011	2.245011	2.245011	2.245011	2.245011	0.000000	0.000000	2.245011	2.245011	2.245011	0.000000	2.245011	0.000000	2.245011	0.000000	0.015390	0.383990	0.093640	0.490085	0.016895	
14000	-49.426680	978	0.000218	1	9	'Z Z 0 Z Z 0 0 0 0 0 Z Z 0 0 0 0 Z Z 0 Z 	0.000000	0.000000	2.074795	0.000000	0.000000	2.074795	2.074795	2.074795	2.074795	2.074795	0.000000	0.000000	2.074795	2.074795	2.074795	2.074795	0.000000	0.000000	2.074795	0.000000	0.059950	0.284104	0.102658	0.544829	0.008459	
15000	-49.930959	892	0.000218	1	3	'0 Z 0 Z 0 0 0 0 0 0 Z 0 0 0 0 0 0 0 0 0 	1.515719	0.000000	1.515719	0.000000	1.515719	1.515719	1.515719	1.515719	1.515719	1.515719	0.000000	1.515719	1.515719	1.515719	1.515719	1.515719	1.515719	1.515719	1.515719	1.515719	0.039257	0.200108	0.095098	0.419200	0.246337	
16000	-52.703837	666	0.000218	1	12	'Z Z Z Z 0 0 Z Z Z 0 0 Z 0 Z 0 0 Z Z 0 Z 	0.000000	0.000000	0.000000	0.000000	2.430972	2.430972	0.000000	0.000000	0.000000	2.430972	2.430972	0.000000	2.430972	0.000000	2.430972	2.430972	0.000000	0.000000	2.430972	0.000000	0.000000	0.040024	0.262864	0.540656	0.156456	
17000	-53.606498	188	0.000218	1	9	'0 0 Z Z 0 Z Z 0 Z 0 0 Z 0 Z 0 0 Z Z 0 0 	2.208288	2.208288	0.000000	0.000000	2.208288	0.000000	0.000000	2.208288	0.000000	2.208288	2.208288	0.000000	2.208288	0.000000	2.208288	2.208288	0.000000	0.000000	2.208288	2.208288	0.008846	0.011403	0.215364	0.441989	0.322399	
18000	-51.336275	453	0.000632	1	6	'0 0 Z 0 0 0 0 0 0 0 0 0 0 Z 0 Z Z Z 0 Z 	1.768559	1.768559	0.000000	1.768559	1.768559	1.768559	1.768559	1.768559	1.768559	1.768559	1.768559	1.768559	1.768559	0.000000	1.768559	0.000000	0.000000	0.000000	1.768559	0.000000	0.046208	0.211776	0.344867	0.229365	0.167784	
19000	-49.499167	674	0.000287	1	7	'Z Z 0 0 Z Z 0 0 0 0 0 0 0 Z 0 0 0 Z 0 Z 	0.000000	0.000000	1.888993	1.888993	0.000000	0.000000	1.888993	1.888993	1.888993	1.888993	1.888993	1.888993	1.888993	0.000000	1.888993	1.888993	1.888993	0.000000	1.888993	0.000000	0.020021	0.126451	0.468646	0.262477	0.122405	
20000	-49.815311	602	0.000287	1	6	'Z 0 0 Z 0 Z 0 Z 0 0 0 0 0 0 0 0 Z Z 0 0 	0.000000	1.711750	1.711750	0.000000	1.711750	0.000000	1.711750	0.000000	1.711750	1.711750	1.711750	1.711750	1.711750	1.711750	1.711750	1.711750	0.000000	0.000000	1.711750	1.711750	0.067347	0.042212	0.400639	0.249506	0.240297	
21000	-48.858700	418	0.000287	1	7	'Z Z 0 0 0 0 0 0 0 0 Z 0 Z 0 0 Z Z 0 0 Z 	0.000000	0.000000	1.811270	1.811270	1.811270	1.811270	1.811270	1.811270	1.811270	1.811270	0.000000	1.811270	0.000000	1.811270	1.811270	0.000000	0.000000	1.811270	1.811270	0.000000	0.096452	0.276293	0.137841	0.438011	0.051403	
22000	-49.310641	581	0.000287	1	6	'0 Z 0 0 0 0 0 Z 0 0 0 0 0 Z 0 Z 0 Z 0 Z 	1.888993	0.000000	1.888993	1.888993	1.888993	1.888993	1.888993	0.000000	1.888993	1.888993	1.888993	1.888993	1.888993	0.000000	1.888993	0.000000	1.888993	0.000000	1.888993	0.000000	0.046497	0.250348	0.400516	0.157809	0.144829	
23000	-47.252546	136	0.000287	1	11	'Z Z 0 Z Z 0 0 Z 0 0 Z 0 0 Z 0 Z Z Z 0 Z 	0.000000	0.000000	2.382353	0.000000	0.000000	2.382353	2.382353	0.000000	2.382353	2.382353	0.000000	2.382353	2.382353	0.000000	2.382353	0.000000	0.000000	0.000000	2.382353	0.000000	0.026465	0.277837	0.360521	0.263983	0.071193	
24000	-50.737665	338	0.000287	1	10	'0 Z Z Z Z 0 Z Z 0 0 0 0 Z Z 0 Z 0 Z 0 0 	2.033133	0.000000	0.000000	0.000000	0.000000	2.033133	0.000000	0.000000	2.033133	2.033133	2.033133	2.033133	0.000000	0.000000	2.033133	0.000000	2.033133	0.000000	2.033133	2.033133	0.004120	0.078532	0.414733	0.158807	0.343807	
25000	-49.591653	983	0.000287	1	10	'Z 0 Z 0 0 0 Z Z 0 0 Z 0 Z Z 0 Z 0 Z 0 Z 	0.000000	2.518657	0.000000	2.518657	2.518657	2.518657	0.000000	0.000000	2.518657	2.518657	0.000000	2.518657	0.000000	0.000000	2.518657	0.000000	2.518657	0.000000	2.518657	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	
26000	-49.034389	229	0.000287	1	9	'Z 0 Z Z Z 0 0 0 0 0 Z 0 Z 0 0 Z 0 Z 0 Z 	0.000000	1.967930	0.000000	0.000000	0.000000	1.967930	1.967930	1.967930	1.967930	1.967930	0.000000	1.967930	0.000000	1.967930	1.967930	0.000000	1.967930	0.000000	1.967930	0.000000	0.003309	0.265863	0.119744	0.598340	0.012744	
27000	-50.972731	879	0.000250	1	6	'Z 0 0 0 0 0 0 0 0 0 Z Z Z Z 0 0 Z 0 0 0 	0.000000	1.835902	1.835902	1.835902	1.835902	1.835902	1.835902	1.835902	1.835902	1.835902	0.000000	0.000000	0.000000	0.000000	1.835902	1.835902	0.000000	1.835902	1.835902	1.835902	0.055188	0.347975	0.056376	0.215129	0.325332	
28000	-49.804162	229	0.000250	1	6	'0 0 Z 0 Z 0 0 Z 0 0 0 0 Z 0 0 0 0 Z 0 Z 	1.654412	1.654412	0.000000	1.654412	0.000000	1.654412	1.654412	0.000000	1.654412	1.654412	1.654412	1.654412	0.000000	1.654412	1.654412	1.654412	1.654412	0.000000	1.654412	0.000000	0.052927	0.150234	0.428675	0.280398	0.087766	
29000	-50.431254	608	0.000250	1	4	'0 0 Z 0 Z 0 0 0 0 0 Z 0 0 0 0 0 Z 0 0 0 	1.524849	1.524849	0.000000	1.524849	0.000000	1.524849	1.524849	1.524849	1.524849	1.524849	0.000000	1.524849	1.524849	1.524849	1.524849	1.524849	0.000000	1.524849	1.524849	1.524849	0.039227	0.194131	0.136298	0.429052	0.201291	
30000	-51.298137	548	0.000250	1	6	'0 0 0 Z Z 0 Z 0 0 0 0 0 0 Z 0 Z 0 Z 0 0 	1.765475	1.765475	1.765475	0.000000	0.000000	1.765475	0.000000	1.765475	1.765475	1.765475	1.765475	1.765475	1.765475	0.000000	1.765475	0.000000	1.765475	0.000000	1.765475	1.765475	0.045306	0.139080	0.462611	0.109576	0.243427	
31000	-50.994369	204	0.000250	1	3	'0 Z 0 0 Z 0 0 0 0 0 0 0 0 Z 0 0 0 0 0 0 	1.450573	0.000000	1.450573	1.450573	0.000000	1.450573	1.450573	1.450573	1.450573	1.450573	1.450573	1.450573	1.450573	0.000000	1.450573	1.450573	1.450573	1.450573	1.450573	1.450573	0.031178	0.217440	0.380560	0.140611	0.230211	
32000	-49.493864	777	0.000227	1	7	'0 Z Z Z 0 0 0 Z 0 0 0 0 0 0 0 Z Z 0 0 Z 	1.705981	0.000000	0.000000	0.000000	1.705981	1.705981	1.705981	0.000000	1.705981	1.705981	1.705981	1.705981	1.705981	1.705981	1.705981	0.000000	0.000000	1.705981	1.705981	0.000000	0.000400	0.117940	0.490842	0.195031	0.195787	
33000	-49.818303	250	0.000227	1	8	'Z Z Z 0 Z 0 0 Z 0 0 0 0 0 Z 0 Z 0 0 0 Z 	0.000000	0.000000	0.000000	1.845943	0.000000	1.845943	1.845943	0.000000	1.845943	1.845943	1.845943	1.845943	1.845943	0.000000	1.845943	0.000000	1.845943	1.845943	1.845943	0.000000	0.001359	0.119893	0.447971	0.121507	0.309270	
34000	-49.323752	488	0.000227	1	8	'Z Z 0 Z 0 0 0 0 0 0 Z Z 0 0 0 Z Z 0 0 Z 	0.000000	0.000000	2.055838	0.000000	2.055838	2.055838	2.055838	2.055838	2.055838	2.055838	0.000000	0.000000	2.055838	2.055838	2.055838	0.000000	0.000000	2.055838	2.055838	0.000000	0.005387	0.491368	0.055141	0.311466	0.136637	
35000	-52.148166	439	0.000227	1	9	'Z Z Z Z Z Z 0 0 0 0 0 0 Z 0 0 Z Z 0 0 0 	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.735219	1.735219	1.735219	1.735219	1.735219	1.735219	0.000000	1.735219	1.735219	0.000000	0.000000	1.735219	1.735219	1.735219	0.000000	0.018654	0.626513	0.112245	0.242589	
36000	-51.181257	851	0.000227	1	6	'0 0 0 0 0 0 0 Z Z 0 Z 0 0 0 0 Z 0 Z 0 Z 	2.000988	2.000988	2.000988	2.000988	2.000988	2.000988	2.000988	0.000000	0.000000	2.000988	0.000000	2.000988	2.000988	2.000988	2.000988	0.000000	2.000988	0.000000	2.000988	0.000000	0.083448	0.266926	0.099262	0.531267	0.019098	
37000	-49.723204	783	0.000227	1	8	'Z Z 0 Z 0 0 0 0 0 0 0 0 Z Z 0 0 Z Z 0 Z 	0.000000	0.000000	1.732250	0.000000	1.732250	1.732250	1.732250	1.732250	1.732250	1.732250	1.732250	1.732250	0.000000	0.000000	1.732250	1.732250	0.000000	0.000000	1.732250	0.000000	0.002622	0.351267	0.469845	0.127534	0.048731	
38000	-49.491998	395	0.000227	1	10	'Z Z Z 0 Z Z 0 Z 0 0 0 Z 0 Z 0 0 0 Z 0 Z 	0.000000	0.000000	0.000000	2.422249	0.000000	0.000000	2.422249	0.000000	2.422249	2.422249	2.422249	0.000000	2.422249	0.000000	2.422249	2.422249	2.422249	0.000000	2.422249	0.000000	0.001196	0.019409	0.247042	0.413234	0.319119	
39000	-49.591395	92	0.000227	1	8	'Z Z Z 0 Z 0 Z 0 0 0 0 Z 0 0 0 Z 0 0 0 Z 	0.000000	0.000000	0.000000	1.941515	0.000000	1.941515	0.000000	1.941515	1.941515	1.941515	1.941515	0.000000	1.941515	1.941515	1.941515	0.000000	1.941515	1.941515	1.941515	0.000000	0.002903	0.130303	0.267247	0.329283	0.270264	
40000	-51.782565	510	0.000227	1	4	'0 0 Z 0 Z 0 0 Z 0 0 0 0 0 0 0 0 Z 0 0 0 	1.449535	1.449535	0.000000	1.449535	0.000000	1.449535	1.449535	0.000000	1.449535	1.449535	1.449535	1.449535	1.449535	1.449535	1.449535	1.449535	0.000000	1.449535	1.449535	1.449535	0.047422	0.076174	0.376536	0.294997	0.204871	
41000	-51.326313	159	0.000227	1	7	'0 Z Z Z Z 0 0 Z 0 0 Z 0 0 0 0 0 Z 0 0 0 	1.688907	0.000000	0.000000	0.000000	0.000000	1.688907	1.688907	0.000000	1.688907	1.688907	0.000000	1.688907	1.688907	1.688907	1.688907	1.688907	0.000000	1.688907	1.688907	1.688907	0.000428	0.094672	0.140694	0.472167	0.292039	
42000	-49.220914	804	0.000227	1	9	'0 Z Z Z Z Z 0 0 0 0 Z Z 0 0 0 Z 0 0 0 Z 	2.387972	0.000000	0.000000	0.000000	0.000000	0.000000	2.387972	2.387972	2.387972	2.387972	0.000000	0.000000	2.387972	2.387972	2.387972	0.000000	2.387972	2.387972	2.387972	0.000000	0.013324	0.354499	0.122309	0.274160	0.235709	
43000	-49.305278	910	0.000227	1	9	'0 Z Z Z Z 0 Z 0 0 0 Z 0 Z 0 0 0 Z Z 0 0 	1.859504	0.000000	0.000000	0.000000	0.000000	1.859504	0.000000	1.859504	1.859504	1.859504	0.000000	1.859504	0.000000	1.859504	1.859504	1.859504	0.000000	0.000000	1.859504	1.859504	0.001252	0.038877	0.103620	0.588138	0.268114	
44000	-48.778850	353	0.000227	1	10	'Z Z 0 Z Z 0 0 0 0 0 Z Z 0 Z 0 Z 0 Z 0 Z 	0.000000	0.000000	2.487715	0.000000	0.000000	2.487715	2.487715	2.487715	2.487715	2.487715	0.000000	0.000000	2.487715	0.000000	2.487715	0.000000	2.487715	0.000000	2.487715	0.000000	0.000179	0.681683	0.218868	0.022235	0.077035	
45000	-49.275813	413	0.000227	1	6	'0 Z 0 0 0 0 0 0 0 0 0 Z 0 Z 0 Z 0 Z 0 Z 	1.989194	0.000000	1.989194	1.989194	1.989194	1.989194	1.989194	1.989194	1.989194	1.989194	1.989194	0.000000	1.989194	0.000000	1.989194	0.000000	1.989194	0.000000	1.989194	0.000000	0.084953	0.437580	0.244056	0.050577	0.182834	
46000	-52.584741	643	0.000227	1	5	'0 Z 0 Z 0 0 Z 0 Z 0 0 0 0 0 0 0 0 0 0 Z 	1.586991	0.000000	1.586991	0.000000	1.586991	1.586991	0.000000	1.586991	0.000000	1.586991	1.586991	1.586991	1.586991	1.586991	1.586991	1.586991	1.586991	1.586991	1.586991	0.000000	0.032316	0.059856	0.327770	0.489983	0.090076	
47000	-48.225738	157	0.000227	1	6	'Z Z 0 0 0 Z 0 0 0 0 0 0 0 Z 0 Z 0 0 0 Z 	0.000000	0.000000	1.873265	1.873265	1.873265	0.000000	1.873265	1.873265	1.873265	1.873265	1.873265	1.873265	1.873265	0.000000	1.873265	0.000000	1.873265	1.873265	1.873265	0.000000	0.034670	0.104332	0.463647	0.166292	0.231059	
48000	-51.193908	791	0.000227	1	8	'0 0 0 Z Z 0 Z Z 0 0 0 Z Z 0 0 0 Z Z 0 0 	1.887232	1.887232	1.887232	0.000000	0.000000	1.887232	0.000000	0.000000	1.887232	1.887232	1.887232	0.000000	0.000000	1.887232	1.887232	1.887232	0.000000	0.000000	1.887232	1.887232	0.054283	0.008117	0.153121	0.319590	0.464889	
49000	-52.953105	669	0.000227	1	6	'Z 0 0 0 0 0 0 0 0 0 0 Z Z 0 0 0 0 Z Z Z 	0.000000	1.919431	1.919431	1.919431	1.919431	1.919431	1.919431	1.919431	1.919431	1.919431	1.919431	0.000000	0.000000	1.919431	1.919431	1.919431	1.919431	0.000000	0.000000	0.000000	0.042154	0.252537	0.421702	0.283590	0.000017	
