Rate	62.50
Rev Jump	12.50
Tree Move	12.50
Global Rate	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Global Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Global Rate - Dev	Global Rate - Tried	Global Rate - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
646	0.622291	107	0.308411	122	0.737705	125	0.008000	5.000000	646	0.622291	0.653716	0	0.000000	0.526000	0.581947	
652	0.633436	99	0.353535	132	0.583333	117	0.000000	5.000000	652	0.633436	0.653716	0	0.000000	0.525000	0.577202	
677	0.620384	83	0.373494	122	0.737705	118	0.000000	5.000000	677	0.620384	0.653716	0	0.000000	0.541000	0.574417	
660	0.600000	105	0.323810	110	0.745455	125	0.000000	5.000000	660	0.600000	0.653716	0	0.000000	0.512000	0.569959	
615	0.627642	108	0.296296	144	0.701389	133	0.000000	5.000000	615	0.627642	0.653716	0	0.000000	0.519000	0.566562	
636	0.586478	99	0.232323	140	0.700000	125	0.000000	5.000000	636	0.586478	0.653716	0	0.000000	0.494000	0.562027	
663	0.613876	108	0.351852	103	0.728155	126	0.000000	5.000000	663	0.613876	0.653716	0	0.000000	0.520000	0.559555	
635	0.637795	106	0.320755	126	0.650794	133	0.000000	5.000000	635	0.637795	0.653716	0	0.000000	0.521000	0.557413	
683	0.616398	96	0.343750	113	0.646018	108	0.000000	5.000000	683	0.616398	0.653716	0	0.000000	0.527000	0.555813	
660	0.601515	89	0.404494	120	0.625000	131	0.000000	5.000000	660	0.601515	0.653716	0	0.000000	0.508000	0.553422	
649	0.625578	107	0.317757	119	0.563025	125	0.000000	5.000000	649	0.625578	0.653716	0	0.000000	0.507000	0.551212	
644	0.605590	101	0.247525	121	0.685950	134	0.000000	5.000000	644	0.605590	0.653716	0	0.000000	0.498000	0.548793	
640	0.640625	104	0.230769	108	0.712963	148	0.000000	5.000000	640	0.640625	0.653716	0	0.000000	0.511000	0.547150	
640	0.609375	102	0.274510	131	0.534351	127	0.000000	5.000000	640	0.609375	0.653716	0	0.000000	0.488000	0.544686	
659	0.638847	96	0.343750	115	0.495652	130	0.000000	5.000000	659	0.638847	0.653716	0	0.000000	0.511000	0.543338	
633	0.633491	108	0.231481	134	0.723881	125	0.000000	5.000000	633	0.633491	0.653716	0	0.000000	0.523000	0.542556	
660	0.612121	90	0.333333	131	0.625954	119	0.000000	5.000000	660	0.612121	0.653716	0	0.000000	0.516000	0.541573	
643	0.628305	78	0.358974	143	0.643357	136	0.007353	5.000000	643	0.628305	0.653716	0	0.000000	0.525000	0.540981	
662	0.602719	105	0.380952	119	0.621849	114	0.000000	5.000000	662	0.602719	0.653716	0	0.000000	0.513000	0.540016	
643	0.595645	75	0.280000	139	0.697842	143	0.000000	5.000000	643	0.595645	0.653716	0	0.000000	0.501000	0.538715	
681	0.629956	85	0.294118	105	0.685714	129	0.000000	5.000000	681	0.629956	0.653716	0	0.000000	0.526000	0.538305	
654	0.581040	106	0.367925	113	0.646018	127	0.000000	5.000000	654	0.581040	0.653716	0	0.000000	0.492000	0.536858	
624	0.645833	95	0.263158	152	0.631579	129	0.000000	5.000000	624	0.645833	0.653716	0	0.000000	0.524000	0.536469	
650	0.656923	72	0.402778	134	0.649254	144	0.000000	5.000000	650	0.656923	0.653716	0	0.000000	0.543000	0.536661	
649	0.613251	88	0.329545	128	0.812500	135	0.000000	5.000000	649	0.613251	0.653716	0	0.000000	0.531000	0.536499	
632	0.658228	81	0.320988	127	0.692913	160	0.000000	5.000000	632	0.658228	0.653716	0	0.000000	0.530000	0.536318	
593	0.605396	122	0.319672	125	0.720000	160	0.000000	5.000000	593	0.605396	0.653716	0	0.000000	0.488000	0.535013	
630	0.666667	95	0.252632	132	0.727273	143	0.000000	5.000000	630	0.666667	0.653716	0	0.000000	0.540000	0.535144	
646	0.653251	101	0.316832	126	0.730159	127	0.000000	5.000000	646	0.653251	0.653716	0	0.000000	0.546000	0.535422	
654	0.587156	99	0.252525	120	0.775000	127	0.000000	5.000000	654	0.587156	0.653716	0	0.000000	0.502000	0.534587	
630	0.576190	119	0.277311	136	0.757353	115	0.000000	5.000000	630	0.576190	0.653716	0	0.000000	0.499000	0.533719	
609	0.614122	116	0.267241	145	0.703448	130	0.000000	5.000000	609	0.614122	0.653716	0	0.000000	0.507000	0.533083	
627	0.606061	105	0.352381	119	0.655462	149	0.000000	5.000000	627	0.606061	0.653716	0	0.000000	0.495000	0.532197	
635	0.618898	110	0.245455	129	0.627907	126	0.000000	5.000000	635	0.618898	0.653716	0	0.000000	0.501000	0.531488	
662	0.645015	98	0.234694	130	0.730769	110	0.000000	5.000000	662	0.645015	0.653716	0	0.000000	0.545000	0.531788	
647	0.624420	95	0.273684	146	0.678082	112	0.000000	5.000000	647	0.624420	0.653716	0	0.000000	0.529000	0.531728	
630	0.630159	105	0.428571	137	0.729927	128	0.000000	5.000000	630	0.630159	0.653716	0	0.000000	0.542000	0.531946	
667	0.598201	82	0.500000	135	0.733333	116	0.000000	5.000000	667	0.598201	0.653716	0	0.000000	0.539000	0.532093	
632	0.626582	82	0.329268	146	0.678082	140	0.000000	5.000000	632	0.626582	0.653716	0	0.000000	0.522000	0.531887	
643	0.601866	86	0.360465	132	0.704545	139	0.000000	5.000000	643	0.601866	0.653716	0	0.000000	0.511000	0.531469	
658	0.638298	68	0.294118	136	0.772059	138	0.000000	5.000000	658	0.638298	0.653716	0	0.000000	0.545000	0.531735	
666	0.617117	82	0.304878	128	0.726562	124	0.000000	5.000000	666	0.617117	0.653716	0	0.000000	0.529000	0.531682	
678	0.607670	76	0.342105	116	0.724138	130	0.000000	5.000000	678	0.607670	0.653716	0	0.000000	0.522000	0.531499	
663	0.628959	91	0.252747	121	0.619835	125	0.000000	5.000000	663	0.628959	0.653716	0	0.000000	0.515000	0.531194	
666	0.617117	90	0.333333	126	0.714286	118	0.000000	5.000000	666	0.617117	0.653716	0	0.000000	0.531000	0.531190	
628	0.628981	111	0.387387	137	0.700730	124	0.000000	5.000000	628	0.628981	0.653716	0	0.000000	0.534000	0.531241	
657	0.630137	92	0.326087	119	0.655462	132	0.000000	5.000000	657	0.630137	0.653716	0	0.000000	0.522000	0.531078	
646	0.636223	97	0.247423	136	0.691176	121	0.000000	5.000000	646	0.636223	0.653716	0	0.000000	0.529000	0.531043	
658	0.632219	83	0.289157	124	0.580645	135	0.000000	5.000000	658	0.632219	0.653716	0	0.000000	0.512000	0.530720	
675	0.622222	81	0.296296	131	0.725191	113	0.000000	5.000000	675	0.622222	0.653716	0	0.000000	0.539000	0.530858	
657	0.656012	81	0.259259	114	0.692982	148	0.000000	5.000000	657	0.656012	0.653716	0	0.000000	0.531000	0.530860	
654	0.597859	79	0.215190	132	0.674242	135	0.000000	5.000000	654	0.597859	0.653716	0	0.000000	0.497000	0.530314	
651	0.671275	116	0.310345	113	0.840708	120	0.000000	5.000000	651	0.671275	0.653716	0	0.000000	0.568000	0.530912	
635	0.650394	86	0.279070	153	0.738562	126	0.000000	5.000000	635	0.650394	0.653716	0	0.000000	0.550000	0.531210	
626	0.637380	118	0.288136	131	0.641221	125	0.000000	5.000000	626	0.637380	0.653716	0	0.000000	0.517000	0.530992	
626	0.611821	104	0.221154	120	0.775000	150	0.000000	5.000000	626	0.611821	0.653716	0	0.000000	0.499000	0.530507	
615	0.570732	101	0.237624	147	0.687075	137	0.000000	5.000000	615	0.570732	0.653716	0	0.000000	0.476000	0.529694	
642	0.641745	89	0.292135	133	0.676692	136	0.000000	5.000000	642	0.641745	0.653716	0	0.000000	0.528000	0.529669	
673	0.619614	92	0.402174	127	0.559055	108	0.000000	5.000000	673	0.619614	0.653716	0	0.000000	0.525000	0.529601	
661	0.633888	86	0.360465	113	0.637168	140	0.000000	5.000000	661	0.633888	0.653716	0	0.000000	0.522000	0.529492	
627	0.660287	98	0.295918	141	0.602837	134	0.000000	5.000000	627	0.660287	0.653716	0	0.000000	0.528000	0.529471	
665	0.639098	100	0.380000	112	0.633929	123	0.000000	5.000000	665	0.639098	0.653716	0	0.000000	0.534000	0.529534	
