Rate	62.50
Rev Jump	12.50
Tree Move	12.50
Global Rate	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Global Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Global Rate - Dev	Global Rate - Tried	Global Rate - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
570	0.522807	67	0.522388	181	0.701657	182	0.000000	5.000000	570	0.522807	0.231798	0	0.000000	0.460000	0.469503	
667	0.646177	60	0.366667	141	0.645390	132	0.000000	5.000000	667	0.646177	0.231798	0	0.000000	0.544000	0.475710	
698	0.617479	61	0.393443	116	0.698276	125	0.000000	5.000000	698	0.617479	0.231798	0	0.000000	0.536000	0.480348	
674	0.600890	74	0.608108	116	0.612069	136	0.000000	5.000000	674	0.600890	0.231798	0	0.000000	0.521000	0.483251	
621	0.623188	82	0.463415	145	0.703448	152	0.000000	5.000000	621	0.623188	0.231798	0	0.000000	0.527000	0.486168	
674	0.614243	58	0.413793	136	0.683824	132	0.000000	5.000000	674	0.614243	0.231798	0	0.000000	0.531000	0.488969	
696	0.626437	67	0.641791	118	0.745763	119	0.000000	5.000000	696	0.626437	0.231798	0	0.000000	0.567000	0.493559	
653	0.649311	62	0.500000	142	0.563380	143	0.000000	5.000000	653	0.649311	0.231798	0	0.000000	0.535000	0.495861	
646	0.606811	60	0.516667	161	0.577640	133	0.000000	5.000000	646	0.606811	0.231798	0	0.000000	0.516000	0.496921	
663	0.630468	76	0.447368	133	0.736842	128	0.000000	5.000000	663	0.630468	0.231798	0	0.000000	0.550000	0.499575	
677	0.654357	66	0.515152	128	0.531250	129	0.000000	5.000000	677	0.654357	0.231798	0	0.000000	0.545000	0.501738	
656	0.641768	89	0.348315	143	0.405594	112	0.000000	5.000000	656	0.641768	0.231798	0	0.000000	0.510000	0.502114	
640	0.618750	66	0.424242	155	0.670968	139	0.000000	5.000000	640	0.618750	0.231798	0	0.000000	0.528000	0.503239	
678	0.657817	46	0.652174	122	0.631148	154	0.000000	5.000000	678	0.657817	0.231798	0	0.000000	0.553000	0.505312	
656	0.629573	46	0.413043	147	0.721088	151	0.000000	5.000000	656	0.629573	0.231798	0	0.000000	0.538000	0.506620	
680	0.630882	48	0.437500	137	0.613139	135	0.000000	5.000000	680	0.630882	0.231798	0	0.000000	0.534000	0.507673	
679	0.605302	55	0.418182	131	0.572519	135	0.000000	5.000000	679	0.605302	0.231798	0	0.000000	0.509000	0.507722	
674	0.652819	60	0.483333	137	0.532847	129	0.000000	5.000000	674	0.652819	0.231798	0	0.000000	0.542000	0.508946	
679	0.642121	54	0.666667	138	0.652174	129	0.000000	5.000000	679	0.642121	0.231798	0	0.000000	0.562000	0.510775	
694	0.641210	52	0.576923	121	0.628099	133	0.000000	5.000000	694	0.641210	0.231798	0	0.000000	0.551000	0.512116	
669	0.642750	59	0.610169	137	0.737226	135	0.000000	5.000000	669	0.642750	0.231798	0	0.000000	0.567000	0.513887	
683	0.578331	56	0.553571	139	0.669065	122	0.008197	5.000000	683	0.578331	0.231798	0	0.000000	0.520000	0.514078	
648	0.669753	56	0.392857	162	0.648148	134	0.000000	5.000000	648	0.669753	0.231798	0	0.000000	0.561000	0.515500	
686	0.619534	70	0.514286	123	0.658537	121	0.000000	5.000000	686	0.619534	0.231798	0	0.000000	0.542000	0.516279	
668	0.597305	55	0.600000	145	0.662069	132	0.000000	5.000000	668	0.597305	0.231798	0	0.000000	0.528000	0.516614	
647	0.629057	65	0.523077	142	0.584507	146	0.000000	5.000000	647	0.629057	0.231798	0	0.000000	0.524000	0.516819	
652	0.628834	75	0.506667	140	0.664286	133	0.000000	5.000000	652	0.628834	0.231798	0	0.000000	0.541000	0.517473	
628	0.619427	90	0.444444	129	0.674419	153	0.000000	5.000000	628	0.619427	0.231798	0	0.000000	0.516000	0.517434	
630	0.652381	98	0.479592	136	0.654412	136	0.000000	5.000000	630	0.652381	0.231798	0	0.000000	0.547000	0.518192	
659	0.657056	67	0.432836	152	0.651316	122	0.008197	5.000000	659	0.657056	0.231798	0	0.000000	0.562000	0.519287	
585	0.502564	92	0.347826	167	0.676647	156	0.000000	5.000000	585	0.502564	0.231798	0	0.000000	0.439000	0.517329	
674	0.581602	68	0.441176	136	0.647059	122	0.000000	5.000000	674	0.581602	0.231798	0	0.000000	0.510000	0.517154	
673	0.643388	63	0.539683	124	0.596774	140	0.000000	5.000000	673	0.643388	0.231798	0	0.000000	0.541000	0.517709	
648	0.645062	86	0.476744	145	0.634483	121	0.000000	5.000000	648	0.645062	0.231798	0	0.000000	0.551000	0.518465	
642	0.643302	87	0.367816	133	0.729323	138	0.000000	5.000000	642	0.643302	0.231798	0	0.000000	0.542000	0.518988	
669	0.642750	51	0.509804	137	0.554745	143	0.000000	5.000000	669	0.642750	0.231798	0	0.000000	0.532000	0.519271	
653	0.633997	69	0.463768	130	0.576923	148	0.000000	5.000000	653	0.633997	0.231798	0	0.000000	0.521000	0.519308	
673	0.640416	64	0.578125	122	0.598361	141	0.000000	5.000000	673	0.640416	0.231798	0	0.000000	0.541000	0.519760	
653	0.632466	56	0.464286	155	0.600000	136	0.000000	5.000000	653	0.632466	0.231798	0	0.000000	0.532000	0.520010	
700	0.622857	51	0.372549	142	0.584507	107	0.000000	5.000000	700	0.622857	0.231798	0	0.000000	0.538000	0.520370	
663	0.594268	81	0.493827	120	0.541667	136	0.000000	5.000000	663	0.594268	0.231798	0	0.000000	0.499000	0.519951	
